pclass,sex,age_group,embarked,fare,survived
3,female,adult,Q,12.56,yes
1,male,adult,Q,130.4,yes
3,female,adult,S,16.8,yes
3,male,adult,S,37.27,no
2,male,adult,S,62.9,no
3,male,senior,S,14.78,no
1,male,adult,Q,175.69,no
2,female,adult,Q,31.5,no
3,female,adult,Q,34.34,no
1,male,senior,C,64.09,yes
3,female,adult,Q,28.98,yes
2,male,adult,C,43.89,no
2,male,adult,C,41.77,no
